한글,French,Example Sentence,Translated Sentence,Explanation
올려다 보다,to look up,아이들이 하늘을 올려다 봤어요.,Les enfants ont regardé vers le haut dans le ciel.,올리다 = lever + 보다 = regarder. Direction du regard vers le haut. Répété pour signifier que les enfants regardent la fée s'envoler.
단막극,one-act play,단막극을 직접 써보세요.,Essayez d'écrire vous-même une pièce en un acte.,"단 = un seul + 막 = acte + 극 = pièce. Pièce de théâtre courte, sans entracte."
역할을 나누다,to divide up the roles,우리 반이 역할을 나눠서 연습했어요.,Notre classe a réparti les rôles et s'est entraînée.,역할 = rôle + 나누다 = diviser/partager. Distribution des personnages pour une représentation ou un jeu de rôle.
UCC,user-created content,UCC 영상을 만들어 올렸어요.,Nous avons créé et publié une vidéo UCC.,"User Created Content. Terme coréen très utilisé pour les vidéos créées par des amateurs, prédécesseur de « YouTube »."
제작,production (movie),영화 제작에 참여하고 싶어요.,Je veux participer à la production d'un film.,"제작 = fabrication/production artistique. Désigne le processus de création d'un film, d'un drama ou d'un programme."
대한민국,Republic of Korea,저는 대한민국 사람이에요.,Je suis citoyen de la République de Corée.,Nom officiel de la Corée du Sud. 대한 = grande Corée + 민국 = republic du peuple.
신화,legendy,한국에는 재미있는 신화가 많아요.,Il y a de nombreux mythes fascinants en Corée.,신화 = mythe/légende. Récit fondateur expliquant l'origine du monde ou d'un peuple.
거울,mirror,거울에 비친 내 얼굴을 봤어요.,J'ai vu mon visage reflété dans le miroir.,Objet réfléchissant. Dans la mythologie coréenne le miroir a une valeur symbolique sacrée.
칼,"knife, sword",칼로 과일을 잘랐어요.,J'ai coupé les fruits avec un couteau.,Outil tranchant. Symbole de pouvoir et de protection dans certains contextes historiques coréens.
방울,A bell,방울 소리가 났어요.,On a entendu le son d'une clochette.,Petite clochette ronde. Dans le mythe de Dangun les trois objets sacrés sont le miroir la cloche et l'épée.
태양,sun,태양이 밝게 빛나요.,Le soleil brille avec éclat.,Astre central du système solaire. Symbole de vie et d'énergie. Lié au nom Dangun (단군 = maître de l'autel du soleil).
뜻하다,to mean,이 단어가 무엇을 뜻해요?,Que signifie ce mot ?,Exprimer la signification ou l'intention derrière une expression ou un acte.
반성하다,to reflect upon one's mistakes,내 행동을 반성하고 있어요.,Je réfléchis à mes erreurs.,Processus intérieur d'autocritique constructive. Valeur confucéenne très présente dans la culture coréenne.
백성,the people (of a country),세종대왕은 백성을 위해 한글을 만들었어요.,Le roi Sejong a créé le hangeul pour le peuple.,Terme historique désignant les sujets d'un roi. Remplacé dans le langage moderne par 국민 (citoyens).
다스리다,"to rule, to govern",단군이 나라를 지혜롭게 다스렸어요.,Dangun a gouverné le pays avec sagesse.,Exercer le pouvoir souverain sur un peuple ou un territoire. S'utilise aussi au sens figuré.
감동시키다,to move or touch someone's emotions,이 이야기가 관객을 감동시켰어요.,Cette histoire a profondément ému le public.,감동 = émotion + 시키다 = faire faire (causatif). Provoquer une émotion profonde chez quelqu'un.
훌륭하다,to be great,단군은 훌륭한 지도자였어요.,Dangun était un grand leader.,Qualifie quelqu'un d'admirable par ses qualités morales et ses accomplissements. Plus fort que 좋다.
신,god,하늘 신이 아들에게 땅을 다스리게 했어요.,Le dieu du ciel a chargé son fils de gouverner la terre.,Être divin ou surnaturel. Dans le mythe de Dangun son père est Hwanung fils du dieu du ciel Hwanim.
쑥,a species of mugwort,곰과 호랑이가 쑥을 먹었어요.,L'ours et le tigre ont mangé de l'armoise.,Plante herbacée (artemisia) communément utilisée en cuisine coréenne (쑥국, 쑥떡) et en médecine traditionnelle.
-여,more than,백 명여 명이 모였어요.,Plus d'une centaine de personnes se sont rassemblées.,여 = environ/plus de. Suffixe numérique indiquant un chiffre approximatif supérieur.
마늘,garlic,마늘을 많이 먹으면 건강에 좋아요.,Manger beaucoup d'ail est bon pour la santé.,Ingrédient indispensable de la cuisine coréenne. Dans le mythe de Dangun l'ours et le tigre doivent manger de l'ail et de l'armoise.
깜깜하다,to be dark,동굴 안이 깜깜해요.,L'intérieur de la grotte est plongé dans le noir.,깜깜 = obscurité totale. Plus intense que 어둡다. Décrit une noirceur totale sans aucune lumière.
참다,to endure,100일 동안 고통을 참아야 해요.,Il faut endurer la douleur pendant 100 jours.,Supporter quelque chose de difficile sans céder. Valeur de persévérance très valorisée dans la culture coréenne.
뛰쳐나가다,to run outside,호랑이가 참지 못하고 동굴 밖으로 뛰쳐나갔어요.,Le tigre n'a pas pu tenir et a bondi hors de la grotte.,뛰다 = courir + 쳐 = soudainement + 나가다 = sortir. Sortie brusque et impulsive.
기도하다,to pray,곰은 매일 열심히 기도했어요.,L'ours priait diligemment chaque jour.,기도 = prière + 하다. Acte de communication spirituelle avec une divinité.
성장하다,"to grow, to grow up",아이가 건강하게 성장했어요.,L'enfant a grandi en bonne santé.,성장 = croissance + 하다. Développement physique et/ou psychologique d'un être vivant.
나라를 세우다,to found a country,단군이 고조선이라는 나라를 세웠어요.,Dangun a fondé un pays appelé Gojoseon.,나라 = pays + 세우다 = ériger/fonder. Acte fondateur d'un État. Dans la mythologie coréenne Dangun fonde Gojoseon en 2333 avant J.-C.
한반도,Korean Peninsula,한반도는 삼면이 바다로 둘러싸여 있어요.,La péninsule coréenne est entourée d'eau sur trois côtés.,한 = coréen + 반도 = péninsule. Territoire géographique demi-insulaire où se trouvent les deux Corées.
최초,the first,단군은 한반도 최초의 지도자예요.,Dangun est le premier dirigeant de la péninsule coréenne.,최초 = tout premier. Caractère pionnier historique ou mythologique.
국가,"state, nation",강한 국가를 만들기 위해 노력했어요.,On a travaillé dur pour bâtir un État fort.,"국가 = État/nation (plus formel que 나라). Désigne aussi l'hymne national (애국가)."
,,,,
7과,,,,
의견이 다르다,to have a different opinion,부모님과 의견이 달라요.,Mon opinion diffère de celle de mes parents.,의견 = avis/opinion + 다르다 = être différent. Exprimer un désaccord ou une divergence de perspective.
마음을 바꾸다,to change one's mind,설득 끝에 마음을 바꿨어요.,Après avoir été persuadé j'ai changé d'avis.,마음 = cœur/esprit/décision + 바꾸다 = changer. Modifier sa position suite à une réflexion ou une pression externe.
드릴 말씀이 있는데요,I have something to tell you,드릴 말씀이 있는데요. 잠깐 시간 되세요?,J'ai quelque chose à vous dire. Vous avez un moment ?,Formule très polie pour introduire une conversation importante avec une personne supérieure.
독립하다,to be independent,대학교를 졸업하면 독립하고 싶어요.,Quand je termine l'université je veux être indépendant.,독립 = indépendance + 하다. Vivre de manière autonome sans dépendre de ses parents.
독립해서 살다,"to live on one's own, to live independently",혼자 독립해서 사는 게 쉽지 않아요.,Vivre seul de manière indépendante n'est pas facile.,독립하다 + 살다 = vivre de façon autonome. Reality check souvent abordé entre parents et enfants en Corée.
제정신이니?,Are you in your right mind?,그걸 혼자 하겠다고? 제정신이니?,Tu veux faire ça tout seul ? Tu es dans ton bon sens ?,"Expression familière et directe pour exprimer sa stupéfaction face à une décision irrationnelle. 제정신 = bon sens, lucidité."
파김치가 되다,to be completely worn out,하루 종일 일하고 파김치가 됐어요.,J'ai travaillé toute la journée et je suis épuisé.,파김치 = kimchi de poireaux (mou et fatigué) → métaphore. Expression imagée pour décrire un épuisement total.
예전,"in the past, a long time ago",예전에는 이 동네가 조용했어요.,Cette quartier était calme autrefois.,"예전 = le passé, jadis. Plus vague que 옛날 (temps très anciens). Désigne un passé récent ou personnel."
무조건,"unconditionally, absolutely (used to tell someone they have no choice in a decision)",무조건 조심해야 해요.,Il faut absolument faire attention.,"무조건 = sans condition. Indique qu'il n'y a aucune exception possible, généralement utilisé par quelqu'un d'autoritaire."
경비 시스템,home security system,요즘 많은 아파트에 경비 시스템이 있어요.,De nos jours beaucoup d'appartements ont un système de sécurité.,경비 = garde/sécurité + 시스템 = système. Désigne les systèmes électroniques de surveillance résidentielle.
집값,"price of a house, rent",서울의 집값이 정말 비싸요.,Le prix des logements à Séoul est vraiment élevé.,집 = maison + 값 = prix. Sujet très sensible en Corée notamment chez les jeunes générations.
저금하다,to save money (in a savings account),매달 조금씩 저금하고 있어요.,Je mets un peu d'argent de côté chaque mois.,저금 = épargne bancaire + 하다. Déposer régulièrement de l'argent sur un compte d'épargne.
모아두다,"to save up, to put aside",돈을 모아뒀다가 여행을 갈 거예요.,Je vais mettre de l'argent de côté pour voyager.,모으다 = accumuler + 두다 = laisser en réserve. Mettre quelque chose de côté pour une utilisation future.
보증금,"deposit, key money",보증금이 너무 많아서 걱정이에요.,Je suis inquiet car la caution est trop élevée.,"En Corée le système 전세 implique un dépôt important, et 보증금 désigne ce dépôt initial pour louer."
절약하다,to save money (by being frugal),전기를 절약하기 위해 불을 꺼요.,J'éteins les lumières pour économiser de l'électricité.,절약 = économie/frugalité + 하다. Réduire ses dépenses par des comportements consciencieux.
아껴 쓰다,"to use sparingly, to conserve",물을 아껴 쓰는 게 중요해요.,Il est important d'utiliser l'eau avec parcimonie.,아끼다 = ménager/économiser + 쓰다 = utiliser. Utiliser une ressource avec soin pour ne pas la gaspiller.
도움 없이,without (someone's) help,도움 없이 혼자 해냈어요!,Je l'ai fait seul sans aide !,도움 = aide + 없이 = sans. Réaliser quelque chose par ses propres moyens. Exprime la fierté de l'autonomie.
아무리 생각해도 이해가 안 된다,"Try as I might, I just don't understand",아무리 생각해도 이해가 안 돼요.,J'ai beau essayer je ne comprends vraiment pas.,"아무리 = avoir beau + -아도 = même si. Expression de frustration face à quelque chose d'incompréhensible malgré tous les efforts."
신경 써야 할 게 한두 가지가 아니야,You will have your hands full,혼자 살면 신경 써야 할 게 한두 가지가 아니야.,Quand on vit seul les choses auxquelles il faut faire attention ne se comptent pas sur les doigts.,한두 가지 = une ou deux choses + 아니야 = ce n'est pas. Expression pour dire qu'il y a énormément de choses à gérer.
고생을 사서 하다,to choose to suffer,굳이 혼자 살겠다니 고생을 사서 하는 꼴이야.,Vouloir vivre seul à tout prix c'est se créer des problèmes soi-même.,Idiome : s'imposer des difficultés inutiles par choix. 사다 = acheter + 고생 = souffrance. Critique affectueuse.
길에 버리는 시간이 너무 아까워요,It's a shame to waste so much time on the road,통근하면 길에 버리는 시간이 너무 아까워요.,Faire la navette c'est vraiment dommage de perdre autant de temps en route.,"아깝다 = être dommage de gaspiller. Expression pour déplorer le temps perdu dans les transports, très courante à Séoul."
차라리,"rather, instead (when choosing the lesser of two evils)",차라리 집 근처에서 살겠어요.,Je préférerais habiter près de chez moi.,"차라리 = préférablement, autant. Choisir la moins mauvaise option parmi deux alternatives indésirables."
-게 해 주세요,Please let me (do something),혼자 살게 해 주세요!,Laissez-moi vivre seul s'il vous plaît !,(-게) 해 주다 = autoriser/laisser faire quelque chose pour quelqu'un. Formule de requête polie mais directe.
설득하다,to persuade,부모님을 설득하는 데 성공했어요.,J'ai réussi à persuader mes parents.,설득 = persuasion + 하다. Convaincre quelqu'un par des arguments logiques ou émotionnels.
품질이 좋다/나쁘다,to be of good/bad quality,이 제품은 품질이 좋지 않아요.,Ce produit n'est pas de bonne qualité.,품질 = qualité du produit + 좋다/나쁘다 = être bon/mauvais. Évaluation de la valeur d'un bien.
성공하다,"to succeed, to be successful",열심히 노력하면 성공할 수 있어요.,Si on travaille dur on peut réussir.,성공 = succès + 하다. Atteindre ses objectifs après des efforts soutenus. Grande valeur en Corée.
키우다,to raise,부모님이 저를 키워주셨어요.,Mes parents m'ont élevé.,키우다 = élever/nourrir. S'utilise pour les enfants et les animaux. Implique un investissement affectif sur la durée.
제대로,"properly, formally",제대로 해야 나중에 문제가 없어요.,Si on le fait correctement il n'y aura pas de problèmes plus tard.,제대로 = comme il se doit/correctement. Adverbe indiquant qu'une action est réalisée dans les règles.
환불이 안 되다,to be non-refundable,이 티켓은 환불이 안 돼요.,Ce billet n'est pas remboursable.,환불 = remboursement + 이 안 되다 = ne pas être possible. Important à vérifier avant tout achat en ligne.
공익광고,public service announcement,한국 TV에서 공익광고를 자주 봐요.,On voit souvent des annonces d'intérêt public à la télé coréenne.,공익 = intérêt public + 광고 = publicité. Message diffusé pour sensibiliser le public à des causes sociales.
메시지,message,이 광고의 메시지가 뭔가요?,Quel est le message de cette publicité ?,"메시지 = message (emprunt à l'anglais). Idée ou contenu principal qu'on veut transmettre à travers une communication."
(음식을) 남기다,"to leave food, to have leftovers",음식을 남기지 않는 게 좋아요.,Il vaut mieux ne pas laisser de restes.,"남기다 = laisser/garder. Dans ce contexte, ne pas finir son assiette. En Corée, laisser de la nourriture peut parfois être perçu différemment selon le contexte."
음식물 쓰레기,food garbage,음식물 쓰레기를 줄여야 해요.,Il faut réduire les déchets alimentaires.,음식물 = aliments + 쓰레기 = déchets. Problème environnemental majeur traité par les campagnes publiques coréennes.
-을 줄이다,"to reduce, to decrease -",탄소 배출을 줄이는 게 중요해요.,Il est important de réduire les émissions de carbone.,줄이다 = diminuer/réduire (transitif). Contraire de 늘리다 (augmenter).
선율,"melody, tune",이 곡의 선율이 정말 아름다워요.,La mélodie de ce morceau est vraiment belle.,선율 = mélodie. Suite de notes formant un air reconnaissable. Terme musical et poétique.
이웃,neighbor,이웃과 사이좋게 지내는 게 중요해요.,S'entendre bien avec ses voisins est important.,이웃 = voisin/voisinage. Relations de proximité très valorisées dans la culture communautaire coréenne.
고통,pain,고통 없이는 성공도 없어요.,Sans douleur il n'y a pas de succès.,고통 = souffrance physique ou morale. Terme plus fort que 아픔. S'utilise aussi au sens figuré.
배려,consideration,다른 사람을 위한 배려가 필요해요.,Il faut de la considération pour les autres.,배려 = égard/attention envers les autres. Valeur sociale essentielle mise en avant dans les PSA coréens.
층간 소음,noise between floors (in a building),층간 소음 때문에 이웃과 갈등이 생겼어요.,Des conflits avec les voisins sont nés à cause du bruit entre les étages.,"층 = étage + 간 = entre + 소음 = bruit. Problème majeur dans les grandes villes coréennes, souvent sujet de PSA."
갈등,"conflict, feud",이웃 간의 갈등을 해결하는 게 쉽지 않아요.,Résoudre les conflits entre voisins n'est pas facile.,갈등 = tension/conflit interpersonnel. Désaccord profond pouvant mener à une rupture de la relation.
마음 쓰다,"to be considerate of, to think about someone else",이웃에게 마음을 써야 해요.,Il faut faire attention à ses voisins.,마음 = cœur + 쓰다 = utiliser. Dépenser de l'énergie émotionnelle pour se soucier des autres.
만원 버스,a packed bus,아침에 만원 버스를 타야 해서 힘들어요.,Le matin c'est dur de devoir prendre le bus bondé.,만원 = complet/plein à craquer + 버스. Expression souvent utilisée aux heures de pointe à Séoul.
일으켜 주다,"to pick up, to lift an object",넘어진 할머니를 일으켜 줬어요.,J'ai aidé la vieille dame qui était tombée à se relever.,일으키다 = relever/redresser + -아 주다 = faire pour quelqu'un. Acte de civisme et de bienveillance.
휠체어,a wheelchair,휠체어를 타는 분을 도와줬어요.,J'ai aidé quelqu'un en fauteuil roulant.,휠체어 = fauteuil roulant (de l'anglais wheelchair). Objet d'accessibilité pour les personnes à mobilité réduite.
충분하다,"to be sufficient, to be enough",이 정도면 충분해요.,Ça suffit comme ça.,충분하다 = être suffisant/adéquat. Atteindre le seuil nécessaire. Contraire de 부족하다 (insuffisant).
매연,"smoke, exhaust, fumes",자동차 매연이 공기를 오염시켜요.,Les gaz d'échappement des voitures polluent l'air.,매연 = fumée toxique des moteurs. Terme clé dans les campagnes contre la pollution atmosphérique urbaine.
-을 오염시키다,"to pollute, contaminate",공장이 강을 오염시키고 있어요.,L'usine pollue la rivière.,"오염 = contamination/pollution + 시키다 = faire (causatif). Rendre un environnement impropre à la vie."
환경 보호,conservation of environment,환경 보호에 관심을 가져야 해요.,Il faut s'intéresser à la protection de l'environnement.,환경 = environnement + 보호 = protection. Enjeu majeur des PSA coréens et des politiques publiques.
국제 영화제,International movie festival,부산 국제 영화제에 가고 싶어요.,Je veux aller au Festival International du Film de Busan.,"국제 = international + 영화제 = festival de cinéma. La Corée accueille plusieurs festivals dont le célèbre 부산국제영화제 (BIFF)."
단풍이 지다,the autumn leaves fall,10월에 단풍이 지기 시작해요.,Les feuilles d'automne commencent à tomber en octobre.,단풍 = feuillage d'automne coloré + 지다 = tomber. Phénomène saisonnier très apprécié des randonneurs coréens.
A는 B가 최고야,2 is best for 1 (Jeju (2) is the best place for tangerines (1)),귤은 제주가 최고야.,Pour les mandarines c'est Jeju le meilleur.,Structure pour dire qu'un lieu ou une personne est inégalable pour quelque chose de particulier.
감독,director (of a movie),봉준호 감독이 아카데미상을 받았어요.,Le réalisateur Bong Joon-ho a remporté un Oscar.,감독 = superviseur/directeur. Dans le cinéma désigne le réalisateur. Peut aussi désigner un entraîneur sportif.
북한산,Bukhan Mountain,북한산 등산이 서울 시민들에게 인기 있어요.,La randonnée au mont Bukhan est populaire parmi les habitants de Séoul.,Montagne populaire à Séoul. À ne pas confondre avec 북한 (Corée du Nord). 북한산 = montagne au nord de l'ancienne Séoul.
전라도,Jeolla Province,전라도는 한국 음식의 고장이에요.,La province de Jeolla est le berceau de la cuisine coréenne.,Province du sud-ouest de la Corée connue pour sa riche tradition culinaire et ses arts.
내장산,Naejang Mountain,가을에 내장산 단풍이 정말 아름다워요.,Le feuillage d'automne du mont Naejang est vraiment magnifique en automne.,Montagne de la province de Jeolla célèbre pour ses couleurs automnales exceptionnelles.
역시 너밖에 없어,You're the best!,정말 고마워. 역시 너밖에 없어!,Merci vraiment. C'est toi le meilleur !,"역시 = comme toujours/décidément + 너밖에 없어 = il n'y a que toi. Expression affectueuse pour valoriser quelqu'un d'irremplaçable."
추억을 쌓다,to make good memories,친구들과 소중한 추억을 쌓았어요.,J'ai créé de précieux souvenirs avec mes amis.,추억 = souvenir chaleureux + 쌓다 = accumuler. Expression pour les expériences vécues dont on gardera un beau souvenir.
생각이 들다,"to get the idea, to occur (to one)",갑자기 여행을 가야겠다는 생각이 들었어요.,L'idée de partir en voyage m'est soudainement venue.,"생각 = pensée/idée + 들다 = entrer/survenir. Exprimer qu'une idée ou un sentiment surgit spontanément, sans l'avoir cherché."
프러포즈,proposal,한강에서 프러포즈를 했어요.,Il a fait sa demande au bord du fleuve Han.,"Emprunt de l'anglais « propose ». Demande en mariage. Le Han est un lieu populaire pour les 프러포즈 à Séoul."
진지하게,seriously,진지하게 생각해 보세요.,Réfléchissez-y sérieusement.,"진지하다 = être sérieux/sincère + -게. Adoptez une attitude concentrée et sincère, sans légèreté."
경제가 안 좋다,the economy is in trouble,요즘 경제가 안 좋아서 취업이 어려워요.,Ces jours-ci l'économie va mal et trouver un emploi est difficile.,경제 = économie + 안 좋다 = ne pas aller bien. Contexte socio-économique souvent évoqué par les jeunes coréens.
승진하다,to get promoted (at one's job),열심히 일해서 승진했어요.,J'ai travaillé dur et j'ai été promu.,승진 = promotion professionnelle + 하다. Avancement dans la hiérarchie d'une entreprise.
자기 소개서,"cover letter, letter of introduction",취업 지원 시 자기 소개서가 중요해요.,La lettre de présentation est importante lors d'une candidature.,자기 = soi-même + 소개 = présentation + 서 = document. Document personnel essentiel dans les candidatures coréennes.
성장 과정,growing up,자기소개서에 성장 과정을 써야 해요.,Il faut écrire son parcours de vie dans la lettre de présentation.,성장 = croissance + 과정 = processus. Section obligatoire d'un CV coréen décrivant son développement personnel.
경력,"job experience, career",경력이 3년 이상 있어야 해요.,Il faut avoir au moins 3 ans d'expérience professionnelle.,경력 = expérience professionnelle accumulée. Valorisée dans les recrutements coréens. Différent de 경험 (expérience générale).
지원 동기,reason or motivation for applying (for a job),지원 동기를 구체적으로 써야 해요.,Il faut écrire en détail sa motivation pour postuler.,지원 = candidature + 동기 = motivation/raison. Section incontournable du formulaire de candidature coréen.
포부,"aspiration, ambition",입사 후의 포부를 말씀해 주세요.,Exprimez vos ambitions une fois recruté dans l'entreprise.,포부 = aspiration/grand projet personnel. Terme soutenu pour désigner une ambition à long terme. Souvent demandé en entretien.
전형적이다,to be typical (of a  given category or class),그 답변은 너무 전형적이에요.,Cette réponse est trop typique/banale.,전형 = archétype/modèle + 적이다. Qualifie quelque chose de conforme à un schéma attendu. Parfois péjoratif.
자녀,one's children,자녀 교육에 열심인 부모가 많아요.,De nombreux parents sont très investis dans l'éducation de leurs enfants.,자녀 = enfants (terme formel). Plus respectueux que 아이. Utilisé dans les contextes officiels et écrits.
매사,"all the time, in every situation",매사에 최선을 다해요.,Je fais de mon mieux en toutes circonstances.,매사 = chaque chose/toute chose. Indique qu'une attitude s'applique à absolument toutes les situations.
책임감이 강하다,to have a strong sense of responsibility,책임감이 강한 사람을 찾고 있어요.,On cherche quelqu'un avec un fort sens des responsabilités.,책임감 = sens des responsabilités + 강하다 = être fort. Qualité très appréciée dans le milieu professionnel coréen.
다만,"but, however",열심히 했습니다. 다만 결과가 아쉬웠어요.,J'ai travaillé dur. Cependant les résultats étaient décevants.,"Connecteur de restriction ou de nuance. Plus formel que 그런데, introduit une limite ou une réserve."
상상력이 풍부하다,to have an active imagination,아이들은 상상력이 풍부해요.,Les enfants ont une imagination débordante.,상상력 = imagination + 풍부하다 = être riche/abondant. Qualité créative très valorisée notamment dans les arts.
엉뚱하다,"to be unexpected, to be inappropriate",엉뚱한 대답을 해서 모두 웃었어요.,Tout le monde a ri à cause de ma réponse inattendue.,Qualifie quelque chose d'absurde ou hors-sujet de manière souvent amusante. Peut être perçu comme maladroit ou créatif.
사회 심리,social psychology,사회 심리 과목을 수강하고 있어요.,Je suis cours de psychologie sociale.,사회 = social + 심리 = psychologie. Discipline étudiant le comportement des individus en groupe.
졸업 논문,graduation thesis,졸업 논문을 쓰고 있어요.,Je suis en train d'écrire mon mémoire de fin d'études.,졸업 = diplôme/fin d'études + 논문 = thèse/mémoire. Document académique requis pour obtenir son diplôme.
관련성,correlation,이 두 현상 사이에 관련성이 있어요.,Il y a une corrélation entre ces deux phénomènes.,관련 = lien/rapport + 성 = caractère. Degré de connexion entre deux variables ou éléments.
소중하다,"to be precious, to mean a lot (to one)",이 경험은 정말 소중해요.,Cette expérience est vraiment précieuse.,소중하다 = avoir une grande valeur sentimentale ou morale. Plus affectif que 중요하다 (important).
자신감을 얻다,to gain more confidence,발표 후에 자신감을 얻었어요.,Après la présentation j'ai gagné en confiance.,자신감 = confiance en soi + 얻다 = acquérir/obtenir. Processus de construction de l'estime de soi.
(회사에) 지원하다,to apply (to a company),대기업에 지원했어요.,J'ai postulé dans une grande entreprise.,"지원하다 = candidater. Dans ce contexte, soumettre sa candidature à une entreprise. Aussi utilisé pour les bourses et concours."
직원 대우,treatment of employees,이 회사는 직원 대우가 좋아요.,Cette entreprise traite bien ses employés.,직원 = employé + 대우 = traitement/conditions. Conditions de travail offertes aux membres du personnel.
자부심을 갖다,to take pride in,자신의 일에 자부심을 가지세요.,Soyez fier(e) de votre travail.,자부심 = fierté personnelle + 갖다 = avoir. Sentiment positif d'estime de soi face à ses propres accomplissements.
전공을 살리다,to make use of one's major,전공을 살려서 취업하고 싶어요.,Je veux trouver un emploi qui utilise ma spécialité.,전공 = spécialité/majeure + 살리다 = mettre en valeur/exploiter. Trouver un emploi en rapport direct avec ses études.
최선을 다하다,to do one's best,무슨 일이든 최선을 다해요.,Quoi qu'il en soit je fais de mon mieux.,최선 = le mieux possible + 다하다 = épuiser/consacrer tout. Expression de l'engagement total dans une tâche.
,,,,
8과,,,,
가습기,humidifier,겨울에 가습기를 틀면 건조함이 줄어요.,En hiver allumer l'humidificateur réduit la sécheresse.,가습 = humidification + 기 = appareil. Appareil qui diffuse de la vapeur d'eau pour humidifier l'air intérieur.
에어컨,air conditioner,여름에 에어컨 없이는 못 살아요.,L'été on ne peut pas vivre sans climatiseur.,"에어컨 = air conditioner (anglais). Incontournable en été coréen où les températures atteignent 35°C et plus."
전기 장판,electric mattress pad,한국 겨울에 전기 장판이 필수예요.,Un matelas chauffant électrique est indispensable en hiver coréen.,Tapis chauffant électrique posé sur le matelas. Alternative au ondol (chauffage par le sol). Très utilisé en Corée.
제습기,dehumidifier,장마철에 제습기가 정말 필요해요.,Un déshumidificateur est vraiment nécessaire pendant la saison des pluies.,제습 = déshumidification + 기. Appareil absorbant l'humidité. Essentiel pendant 장마 (mousson coréenne).
선풍기,fan,에어컨 대신 선풍기를 써요.,On utilise un ventilateur à la place du climatiseur.,선풍기 = ventilateur électrique. Option plus économique et écologique que l'air conditionné. Très courant en Corée.
전기 히터,electric heater,방이 추워서 전기 히터를 켰어요.,Il faisait froid dans la chambre donc j'ai allumé le radiateur électrique.,전기 = électrique + 히터 = heater (anglais). Radiateur portable alimenté par l'électricité.
학기 말,end of semester,학기 말에 시험이 많아요.,Il y a beaucoup d'examens à la fin du semestre.,학기 = semestre + 말 = fin. Période d'examens intensifs à la fin de chaque semestre universitaire.
귀국하다,to return to one's country,졸업 후에 귀국할 예정이에요.,Je prévois de rentrer dans mon pays après les études.,귀국 = retour au pays + 하다. Retour dans son pays d'origine après un séjour à l'étranger.
얼마 안 남다,not much is left,이제 귀국까지 얼마 안 남았어요.,Il ne reste plus longtemps avant le retour dans mon pays.,얼마 = combien + 안 남다 = ne pas rester beaucoup. Exprime qu'un délai est court ou qu'une quantité est faible.
눈 깜짝할 사이에 시간이 지나갔어요.,time passed in the blink of an eye,1년이 눈 깜짝할 사이에 지나갔어요.,Une année a passé en un clin d'œil.,눈 깜짝할 사이 = le temps de cligner des yeux. Métaphore pour une durée qui semble très courte.
짐,luggage,귀국 전에 짐을 미리 정리해야 해요.,Il faut ranger ses bagages à l'avance avant de rentrer.,짐 = bagages/affaires à transporter. Terme générique pour tout ce qu'on emporte lors d'un déplacement.
전압이 안 맞다,the voltage doesn't match,이 제품은 한국에서 전압이 안 맞아요.,Ce produit a un voltage incompatible avec la Corée.,전압 = voltage/tension électrique + 안 맞다= ne pas correspondre. Problème courant lors du retour dans son pays après avoir acheté des appareils à l'étranger.
부피가 크다,to be bulky,소파는 부피가 커서 가져가기 힘들어요.,Le canapé est trop volumineux à emporter.,부피 = volume/encombrement + 크다 = être grand. Décrit un objet qui prend beaucoup de place.
중고 물건,"used items, secondhand goods",중고 물건을 싸게 팔고 있어요.,On vend des articles d'occasion à bas prix.,중고 = de seconde main/usagé + 물건 = objet. Marché de l'occasion très développé en Corée (당근마켓).
1인용,for the use of one person,1인용 텐트를 샀어요.,J'ai acheté une tente pour une personne.,1인 = une personne + 용 = destiné à. Suffixe indiquant à qui ou à combien l'objet est destiné.
가로,width,이 책상의 가로가 120cm예요.,La largeur de ce bureau est de 120 cm.,가로 = largeur/dimension horizontale. Dimension mesurée de gauche à droite.
세로,length vertical,세로가 80cm, 가로가 60cm예요.,La hauteur est de 80 cm et la largeur de 60 cm.,세로 = longueur verticale. Dimension mesurée de haut en bas.
높이,height,이 선반의 높이가 얼마예요?,Quelle est la hauteur de cette étagère ?,높이 = hauteur. Dimension mesurée vers le haut. Distinguer de 키 (taille d'une personne).
시간을 맞춰 놓고 자다,set the time and go to sleep,시간을 맞춰 놓고 자면 에너지가 절약돼요.,Programmer l'heure avant de dormir permet d'économiser de l'énergie.,"맞추다 = régler/programmer + 놓다 = laisser ainsi + 자다 = dormir. Régler une minuterie avant de se coucher."
저절로,"by itself, automatically",불이 저절로 꺼저요.,La lumière s'éteint toute seule.,저절로 = automatiquement/de lui-même. Décrit quelque chose qui se produit sans intervention humaine.
꺼지다,to be turned off,에어컨이 저절로 꺼졌어요.,Le climatiseur s'est éteint tout seul.,꺼지다 = s'éteindre (passif de 끄다). État d'arrêt d'un appareil électrique. Opposé de 켜지다.
전기 포트,electric kettle,전기 포트로 물을 빨리 끓일 수 있어요.,On peut faire bouillir l'eau rapidement avec une bouilloire électrique.,전기 = électrique + 포트 = pot/bouilloire (anglais pot). Très utilisé en Corée pour préparer le thé le café ou les ramens.
크기,size,이 상자의 크기가 딱 맞아요.,La taille de cette boîte est parfaite.,크다 = être grand + 기 = nominalisation. Mesure générale des dimensions d'un objet.
